index,source,source link,hosted link,screenshot link
1,imademocrat1963,https://twitter.com/imademocrat1963/status/1299214977534955521,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900198/melania-green-dress/1.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900198/melania-green-dress/1_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900198/melania-green-dress/1.2.jpg,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900198/melania-green-dress/1.3.jpg,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900201/melania-green-dress/1.4.jpg,
2,billypilgrimxxx,https://twitter.com/billypilgrimxxx/status/1300229963677921280,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/2.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900201/melania-green-dress/2_screenshot.png
3,Mikela34108880,https://twitter.com/Mikela34108880/status/1300238931976507395,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/3.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/3_screenshot.png
4,RSVP2Robin,https://twitter.com/RSVP2Robin/status/1300229660433817601,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900203/melania-green-dress/4.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/4_screenshot.png
5,mariana057,https://twitter.com/mariana057/status/1300228365023170562,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900204/melania-green-dress/5.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900203/melania-green-dress/5_screenshot.png
6,JamesBl85132192,https://twitter.com/JamesBl85132192/status/1300253968468246528,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900205/melania-green-dress/6.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900204/melania-green-dress/6_screenshot.png
7,existentialrefs,https://twitter.com/existentialrefs/status/1299443036422721536,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900205/melania-green-dress/7.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900205/melania-green-dress/7_screenshot.png
8,BuntyKritty,https://twitter.com/BuntyKritty/status/1299687360364503040,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900206/melania-green-dress/8.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900206/melania-green-dress/8_screenshot.png
9,BadazMuddafugga,https://twitter.com/BuntyKritty/status/1299687360364503040,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900207/melania-green-dress/9.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900208/melania-green-dress/9_screenshot.png
10,wildflower86336,https://twitter.com/wildflower86336/status/1300309779877822464,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900208/melania-green-dress/10.jpg,
11,millieh13,https://twitter.com/millieh13/status/1299251711173750784,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900211/melania-green-dress/11.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900212/melania-green-dress/11_screenshot.png
12,colbertlateshow,https://twitter.com/colbertlateshow/status/1299202027365502981,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900210/melania-green-dress/12.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900210/melania-green-dress/12_screenshot.png
13,NemeoreSunborne,https://twitter.com/NemeoreSunborne/status/1299202702598078467,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900211/melania-green-dress/13.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900211/melania-green-dress/13_screenshot.png
14,NemeoreSunborne,https://twitter.com/NemeoreSunborne/status/1299202794382131202,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900212/melania-green-dress/14.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900212/melania-green-dress/14_screenshot.png
15,IdeasImmortal,https://twitter.com/IdeasImmortal/status/1299249443724840960,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900198/melania-green-dress/15.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900212/melania-green-dress/15_screenshot.png
16,JedHead77,https://twitter.com/JedHead77/status/1299404401111519232,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900201/melania-green-dress/16.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900198/melania-green-dress/16_screenshot.png
17,JedHead77,https://twitter.com/JedHead77/status/1299404363434045441,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900201/melania-green-dress/17.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900201/melania-green-dress/17_screenshot.png
18,RodSwiftSJW,https://twitter.com/RodSwiftSJW/status/1299194337339744256,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/18.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900201/melania-green-dress/18_screenshot.png
19,mvondertann,https://twitter.com/mvondertann/status/1299309095284084736,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/19.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/19_screenshot.png
20,toade99,https://twitter.com/toade99/status/1299190907141488641,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/20.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/20_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900202/melania-green-dress/20.2.jpg,
21,DoodyGiuliani1,https://twitter.com/DoodyGiuliani1/status/1299341643565408256,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900203/melania-green-dress/21.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900203/melania-green-dress/21_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900203/melania-green-dress/21.2.jpg,
22,dannotdaniel,https://twitter.com/dannotdaniel/status/1299205884355268610,https://res.cloudinary.com/memeticinfluence/video/upload/v1598900204/melania-green-dress/22_video.mp4,https://res.cloudinary.com/memeticinfluence/image/upload/v1598900203/melania-green-dress/22_screenshot.png
